"year","y","mu_var","sig_var"
1928,0.854375302791595,-0.137846557796001,-0.137846557796001
1929,-0.246681287884712,-0.223201742768288,-0.223201742768288
1930,-0.677671849727631,-0.226875621080399,-0.226875621080399
1931,-0.0300645083189011,-0.226100051403046,-0.226100051403046
1932,0.287399739027023,-0.219481990486383,-0.219481990486383
1933,0.121073313057423,-0.179683587886393,-0.179683587886393
1934,-0.0915239453315735,-0.0537915608845651,-0.0537915608845651
1935,0.293993264436722,-0.10998400375247,-0.10998400375247
1936,0.464517593383789,-0.0709628984332085,-0.0709628984332085
1937,0.0913107916712761,-0.0648141726851463,-0.0648141726851463
1938,0.67172509431839,-0.105413296073675,-0.105413296073675
1939,-0.16743691265583,-0.0284704804420471,-0.0284704804420471
1940,0.406776160001755,-0.0322130307555199,-0.0322130307555199
1941,-0.654936373233795,-0.0385591950267553,-0.0385591950267553
1942,0.363476514816284,-0.0183019947260618,-0.0183019947260618
1943,0.177740052342415,-0.058605420216918,-0.058605420216918
1944,-0.0107435574755073,-0.00129221230745316,-0.00129221230745316
1945,-0.54900848865509,-0.0588233664631844,-0.0588233664631844
1946,-0.997383236885071,-0.0465999078005552,-0.0465999078005552
1947,0.63564270734787,-0.0222704976797104,-0.0222704976797104
1948,0.617937088012695,-0.017176956217736,-0.017176956217736
1949,0.31920200586319,-0.0119343104306608,-0.0119343104306608
1950,-0.846817493438721,0.00186005942523479,0.00186005942523479
1951,0.115529209375381,0.0254662006627768,0.0254662006627768
1952,0.613652229309082,0.023389333114028,0.023389333114028
1953,-0.236177265644073,-0.0350286230444908,-0.0350286230444908
1954,0.117835015058517,-0.038466215133667,-0.038466215133667
1955,0.00658279564231634,-0.00209568459540606,-0.00209568459540606
1956,-0.119132563471794,0.0346916976384819,0.0346916976384819
1957,-0.233578890562057,0.0904702942818403,0.0904702942818403
1958,-0.56422632932663,-0.0148577015846968,-0.0148577015846968
1959,-0.720384895801544,-0.0509200705841067,-0.0509200705841067
1960,0.574515402317047,0.105532692372799,0.105532692372799
1961,0.120027750730515,0.00707812160253525,0.00707812160253525
